@RELATION 

@ATTRIBUTE HomeTeam STRING
@ATTRIBUTE HomeTeamGoals numeric
@ATTRIBUTE AwayTeamGoals numeric
@ATTRIBUTE AwayTeamName	STRING
@ATTRIBUTE year {1930, 1934, 1938, 1942, 1946, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014}



@DATA
Brazil,0,0,Mexico,2014
Russia,1,1,Korea Republic,2014
Australia,2,3,Netherlands,2014
Spain,0,2,Chile,2014
Cameroon,0,4,Croatia,2014
Colombia,2,1,Cote d'Ivoire,2014
Uruguay,2,1,England,2014
Japan,0,0,Greece,2014
Italy,0,1,Costa Rica,2014
Switzerland,2,5,France,2014
Honduras,1,2,Ecuador,2014
Argentina,1,0,IR Iran,2014
Germany,2,2,Ghana,2014
Nigeria,1,0,Bosnia and Herzegovina,2014
Belgium,1,0,Russia,2014
Korea Republic,2,4,Algeria,2014
USA,2,2,Portugal,2014
Australia,0,3,Spain,2014
Netherlands,2,0,Chile,2014
Cameroon,1,4,Brazil,2014
Croatia,1,3,Mexico,2014
Italy,0,1,Uruguay,2014
Costa Rica,0,0,England,2014
Japan,1,4,Colombia,2014
Greece,2,1,Cote d'Ivoire,2014
Nigeria,2,3,Argentina,2014
Bosnia and Herzegovina,3,1,IR Iran,2014
Honduras,0,3,Switzerland,2014
Ecuador,0,0,France,2014
USA,0,1,Germany,2014
Portugal,2,1,Ghana,2014
Korea Republic,0,1,Belgium,2014
Algeria,1,1,Russia,2014
Brazil,1,1,Chile,2014
Colombia,2,0,Uruguay,2014
France,2,0,Nigeria,2014
Germany,2,1,Algeria,2014
Brazil,2,1,Colombia,2014
France,0,1,Germany,2014
Brazil,1,7,Germany,2014
Brazil,0,3,Netherlands,2014
Germany,1,0,Argentina,2014
Netherlands,0,0,Argentina,2014
Netherlands,0,0,Costa Rica,2014
Argentina,1,0,Belgium,2014
Netherlands,2,1,Mexico,2014
Costa Rica,1,1,Greece,2014
Argentina,1,0,Switzerland,2014
Belgium,2,1,USA,2014
Brazil,1,1,Chile,2014
Colombia,2,0,Uruguay,2014
Netherlands,2,1,Mexico,2014
Costa Rica,1,1,Greece,2014
France,2,0,Nigeria,2014
Germany,2,1,Algeria,2014
Argentina,1,0,Switzerland,2014
Belgium,2,1,USA,2014
France,0,1,Germany,2014
Brazil,2,1,Colombia,2014
Argentina,1,0,Belgium,2014
Netherlands,0,0,Costa Rica,2014
Brazil,1,7,Germany,2014
Netherlands,0,0,Argentina,2014
Brazil,0,3,Netherlands,2014
Germany,1,0,Argentina,2014
